,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
643,0.688,0.579,0,-8.991,0,0.0394,0.304,0.0,0.111,0.757,154.034,audio_features,1JDNRquIyufTR4MaVZG27d,spotify:track:1JDNRquIyufTR4MaVZG27d,https://api.spotify.com/v1/tracks/1JDNRquIyufTR4MaVZG27d,https://api.spotify.com/v1/audio-analysis/1JDNRquIyufTR4MaVZG27d,212637,4
644,0.2,0.476,8,-6.411,0,0.0305,0.21,0.0,0.126,0.162,158.483,audio_features,0D0yCWxBoaQb55KN3xtvpS,spotify:track:0D0yCWxBoaQb55KN3xtvpS,https://api.spotify.com/v1/tracks/0D0yCWxBoaQb55KN3xtvpS,https://api.spotify.com/v1/audio-analysis/0D0yCWxBoaQb55KN3xtvpS,187125,3
645,0.531,0.611,1,-5.119,1,0.0387,0.0162,0.0,0.11,0.597,115.058,audio_features,7p83db7oriaCul8WzoLr6f,spotify:track:7p83db7oriaCul8WzoLr6f,https://api.spotify.com/v1/tracks/7p83db7oriaCul8WzoLr6f,https://api.spotify.com/v1/audio-analysis/7p83db7oriaCul8WzoLr6f,194452,4
646,0.508,0.943,4,-2.869,1,0.0872,0.557,0.0,0.566,0.399,102.94,audio_features,7sJgtz5Te1pA09ot2UEHWs,spotify:track:7sJgtz5Te1pA09ot2UEHWs,https://api.spotify.com/v1/tracks/7sJgtz5Te1pA09ot2UEHWs,https://api.spotify.com/v1/audio-analysis/7sJgtz5Te1pA09ot2UEHWs,307600,4
647,0.849,0.592,6,-4.309,0,0.102,0.632,2.39e-06,0.108,0.652,89.966,audio_features,1ZaeaGLhFSckG8sv1y7AWk,spotify:track:1ZaeaGLhFSckG8sv1y7AWk,https://api.spotify.com/v1/tracks/1ZaeaGLhFSckG8sv1y7AWk,https://api.spotify.com/v1/audio-analysis/1ZaeaGLhFSckG8sv1y7AWk,179444,4
648,0.636,0.44,9,-8.951,1,0.0287,0.656,5.25e-06,0.0986,0.363,135.943,audio_features,2GlZQur8CHidODl6OgMO3z,spotify:track:2GlZQur8CHidODl6OgMO3z,https://api.spotify.com/v1/tracks/2GlZQur8CHidODl6OgMO3z,https://api.spotify.com/v1/audio-analysis/2GlZQur8CHidODl6OgMO3z,281480,4
649,0.774,0.473,1,-5.122,0,0.0569,0.221,0.0,0.222,0.416,97.953,audio_features,4oM9DGUTrRaXJDypxxHztZ,spotify:track:4oM9DGUTrRaXJDypxxHztZ,https://api.spotify.com/v1/tracks/4oM9DGUTrRaXJDypxxHztZ,https://api.spotify.com/v1/audio-analysis/4oM9DGUTrRaXJDypxxHztZ,177253,4
650,0.735,0.712,11,-5.119,0,0.0326,0.732,0.0,0.302,0.894,131.938,audio_features,2dy3TKVDEbIeWxeIb8JWqZ,spotify:track:2dy3TKVDEbIeWxeIb8JWqZ,https://api.spotify.com/v1/tracks/2dy3TKVDEbIeWxeIb8JWqZ,https://api.spotify.com/v1/audio-analysis/2dy3TKVDEbIeWxeIb8JWqZ,229333,4
651,0.655,0.725,0,-5.497,1,0.188,0.0327,0.00264,0.0611,0.326,125.8,audio_features,1khmgu0pveJbkbpbkyvcQv,spotify:track:1khmgu0pveJbkbpbkyvcQv,https://api.spotify.com/v1/tracks/1khmgu0pveJbkbpbkyvcQv,https://api.spotify.com/v1/audio-analysis/1khmgu0pveJbkbpbkyvcQv,300579,4
652,0.429,0.821,0,-4.296,0,0.103,0.0731,0.0,0.331,0.733,73.207,audio_features,6Rcyup7ZhTA4A9ktzMuRax,spotify:track:6Rcyup7ZhTA4A9ktzMuRax,https://api.spotify.com/v1/tracks/6Rcyup7ZhTA4A9ktzMuRax,https://api.spotify.com/v1/audio-analysis/6Rcyup7ZhTA4A9ktzMuRax,178980,4
