id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
3rGGGUvG6YXzNaqD1yzdzW,0.501,0.494,4,-8.468,1,0.0295,0.706,0.0118,0.0829,0.163,126.139,269938,4
74jTexO94dFGyXGyeu8krd,0.749,0.988,0,-5.266,0,0.0387,0.202,0.00631,0.17,0.749,135.015,221187,4
3Phjn4zJ34ZiEVUngyccY5,0.677,0.501,10,-5.949,1,0.0569,0.29,0.0,0.0965,0.506,114.012,229446,4
6mKs2kkBgvf090H566n1pd,0.635,0.902,0,-3.559,1,0.109,0.172,0.0,0.125,0.286,102.063,217822,4
3f3omU8n47Mqyab5nCaGyT,0.583,0.584,5,-5.362,0,0.0314,0.254,0.0,0.123,0.136,140.039,219493,4
1RRZSm4akqNyMOsPUhw4cb,0.559,0.337,7,-9.751,1,0.404,0.331,0.0,0.311,0.705,203.231,142480,4
5nqHzhn3SDVtQ89kkaYsg8,0.764,0.611,11,-6.514,0,0.0543,0.0306,1.08e-05,0.167,0.12,109.826,274084,4
3iL2l5gUqyPS6vDwJFgJTR,0.733,0.664,8,-6.163,1,0.295,0.102,0.0,0.191,0.557,148.005,288133,4
0m0hFyrAqGKaVJ7D24Jozg,0.496,0.793,5,-6.122,1,0.297,0.00954,0.0,0.325,0.62,191.928,197113,4
3ZZyYqxcaogkXq1j7V1N2H,0.48,0.56,2,-5.196,1,0.0373,0.157,0.0,0.168,0.167,146.41,258547,3
7viT9kDjq8PIx57sRCID0b,0.449,0.287,5,-11.359,1,0.0324,0.843,0.825,0.144,0.122,194.64,235387,3
5V0nHhlYIjUMfcSoJ5ziRD,0.445,0.773,2,-7.227,1,0.0441,0.00539,0.153,0.131,0.313,191.966,265096,4
6PySB4GoTTMKXhH4Ksaugj,0.121,0.194,9,-17.193,0,0.0356,0.911,0.854,0.11,0.257,83.747,188459,4
78kZylQujjbBQPfmy1Xtcv,0.6,0.812,7,-5.737,1,0.0935,0.39,0.0,0.0298,0.814,75.051,184072,4
4LjyEL2sAQU7QZPC6GuTf6,0.256,0.384,6,-8.158,0,0.0332,0.0529,0.0,0.0802,0.168,175.543,252293,3
3VamXAvVMczcS2PTYtPfBQ,0.629,0.464,4,-8.72,1,0.0334,0.75,0.0,0.0853,0.523,156.051,195053,4
1QAIa9US3WwDAqZdn81FIb,0.273,0.255,8,-11.395,1,0.0327,0.928,4.7e-06,0.106,0.156,65.268,248133,4
357oRj2nlGc9QLjMGifVtS,0.574,0.265,6,-11.3,1,0.0302,0.827,2.25e-05,0.133,0.394,143.808,224945,4
7bdYxWPCs46dQ0XLwySOyv,0.708,0.322,8,-12.46,0,0.0371,0.747,9.24e-05,0.137,0.46,98.892,193947,4
6fq5GyXeT7kfzkK97b9rGC,0.773,0.617,10,-7.545,0,0.0672,0.0514,8e-06,0.11,0.551,155.026,175341,4
2t3b5MZMzsArvQflOUo804,0.513,0.575,6,-5.254,1,0.0311,0.185,1.3e-06,0.111,0.29,129.908,274747,4
6M0gc38pZlnuvMvxuZ4Jp6,0.769,0.507,2,-6.007,1,0.213,0.45,0.0,0.148,0.473,102.015,195093,4
7CijQSdJCwgFFfglzXzRSp,0.416,0.542,11,-8.336,0,0.0285,0.00497,0.79,0.148,0.11,137.945,246720,4
1x6jHJGczTBitBy06hIWgx,0.498,0.742,11,-6.248,0,0.259,0.214,0.0,0.0641,0.302,78.428,287573,4
0EH0MSfDScr5zr0x7Wn0QG,0.553,0.927,0,-3.628,1,0.0855,0.024,0.000138,0.235,0.76,159.935,215933,4
1NBDNXtcIEIVJno1S8wVaL,0.759,0.596,1,-8.563,1,0.464,0.0452,0.0,0.0917,0.567,149.125,155000,5
0yI39MBbjIBnZB3P7FGr5B,0.789,0.658,1,-7.185,1,0.0776,0.00564,5.54e-05,0.117,0.589,94.998,138346,4
4Ri84aoor16uSkNtpAvPgQ,0.919,0.44,1,-11.588,1,0.0689,0.173,0.00392,0.0681,0.369,114.972,303572,4
30O2LILRUDHmfLa9scND3k,0.754,0.681,6,-4.846,1,0.0315,0.068,0.0,0.0591,0.845,103.011,175191,4
3WW9NaxJkWXfahwf5H0VVM,0.812,0.583,10,-4.474,0,0.304,0.573,0.0,0.0775,0.72,136.986,229569,4
1yp5z3TNnOvgcnAKezh7F4,0.811,0.753,0,-4.634,1,0.383,0.788,0.0,0.0798,0.559,85.016,248647,4
1AKGJQIHP3dIPuhOjdxD6a,0.795,0.789,2,-5.21,1,0.259,0.0133,0.0,0.113,0.535,149.961,134417,4
6aZk8CVvg4bVztiy5Mrlen,0.4,0.828,6,-2.779,1,0.0465,0.154,0.0,0.154,0.432,139.352,322182,4
2rCuBpIkHVtY16o0PRv2GS,0.459,0.686,0,-6.592,0,0.453,0.181,0.0,0.481,0.545,147.703,315040,4
5ZiGSKpIGJmWxlBOoKS7dV,0.711,0.866,9,-4.993,0,0.125,0.214,0.0,0.0572,0.744,122.036,286892,4
5vm7y9SmcH0S1NOQanb8rQ,0.626,0.659,0,-8.324,0,0.129,0.0182,1.01e-06,0.348,0.112,77.005,161627,4
7lWUJpax919G4JdaFEVmCy,0.752,0.836,10,-3.173,1,0.115,0.0843,0.000425,0.424,0.519,120.003,172053,4
1JGaV39uhSQd2eAteOxFlF,0.845,0.76,1,-6.008,0,0.362,0.209,0.0,0.105,0.516,101.91,145547,4
2o2gbc86WmczOU9dAOnkSL,0.284,0.612,0,-7.442,1,0.0317,0.00202,0.00495,0.0935,0.757,174.971,331240,4
7pdG3g13RKtrCmKwnSDeO4,0.498,0.941,7,-4.454,0,0.0878,0.000644,0.0236,0.34,0.236,127.044,230680,4
3BSPKTravgBDjmuG1rIXvw,0.274,0.903,8,-3.125,1,0.064,0.0086,0.0,0.315,0.662,129.999,261920,4
4kmp56RAtXEzHOANS0BaLX,0.735,0.736,4,-3.266,0,0.277,0.00511,0.0,0.165,0.813,117.975,199846,4
3WYAeLh2FXjb0d7OhMxIu1,0.719,0.703,5,-4.93,0,0.0392,0.032,1.14e-05,0.0656,0.72,101.984,223000,4
6lSr3iZTC144PKhvbPFzMp,0.431,0.938,3,-4.507,0,0.0542,0.00805,0.0,0.138,0.523,157.462,304000,4
